feature,importance_MDI
C/N,0.6236773715718756
DBE,0.10519889339333223
MolWt,0.07487992461294835
FractionCSP3,0.05319253152282212
MaxAbsCharge,0.0437888508196517
NumHeteroatoms,0.031387554197161036
NumRotatableBonds,0.024380556049252534
TPSA,0.02377284784174025
MolLogP,0.01896227670724193
NumHDonors,0.0007591932839743473
